id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun,jenis_produksi
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2285,TON,2017,daging sapi
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3257,TON,2017,daging sapi
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,2215,TON,2017,daging sapi
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,9969,TON,2017,daging sapi
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1156,TON,2017,daging sapi
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1510,TON,2017,daging sapi
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,3973,TON,2017,daging sapi
8,32,JAWA BARAT,3205,KABUPATEN GARUT,2763,TON,2017,daging sapi
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2606,TON,2017,daging sapi
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2100,TON,2017,daging sapi
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3279,TON,2017,daging sapi
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2198,TON,2017,daging sapi
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,600,TON,2017,daging sapi
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1679,TON,2017,daging sapi
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,1234,TON,2017,daging sapi
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1735,TON,2017,daging sapi
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1362,TON,2017,daging sapi
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1986,TON,2017,daging sapi
19,32,JAWA BARAT,3273,KOTA BANDUNG,7860,TON,2017,daging sapi
20,32,JAWA BARAT,3279,KOTA BANJAR,845,TON,2017,daging sapi
21,32,JAWA BARAT,3275,KOTA BEKASI,3312,TON,2017,daging sapi
22,32,JAWA BARAT,3271,KOTA BOGOR,4030,TON,2017,daging sapi
23,32,JAWA BARAT,3277,KOTA CIMAHI,870,TON,2017,daging sapi
24,32,JAWA BARAT,3274,KOTA CIREBON,236,TON,2017,daging sapi
25,32,JAWA BARAT,3276,KOTA DEPOK,6068,TON,2017,daging sapi
26,32,JAWA BARAT,3272,KOTA SUKABUMI,1682,TON,2017,daging sapi
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1688,TON,2017,daging sapi
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5002,TON,2018,daging sapi
29,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4139,TON,2018,daging sapi
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,1636,TON,2018,daging sapi
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,11706,TON,2018,daging sapi
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1168,TON,2018,daging sapi
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1613,TON,2018,daging sapi
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,3830,TON,2018,daging sapi
35,32,JAWA BARAT,3205,KABUPATEN GARUT,2499,TON,2018,daging sapi
