id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,agama,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,ISLAM,3633669,JIWA,2013
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KRISTEN,70820,JIWA,2013
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,KATHOLIK,25311,JIWA,2013
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,HINDU,2775,JIWA,2013
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUDHA,16706,JIWA,2013
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,KONGHUCHU,6618,JIWA,2013
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEPERCAYAAN LAIN,1965,JIWA,2013
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ISLAM,2421166,JIWA,2013
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KRISTEN,5884,JIWA,2013
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KATHOLIK,2138,JIWA,2013
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HINDU,83,JIWA,2013
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUDHA,730,JIWA,2013
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONGHUCHU,14,JIWA,2013
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEPERCAYAAN LAIN,25,JIWA,2013
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ISLAM,2191907,JIWA,2013
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KRISTEN,11563,JIWA,2013
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KATHOLIK,3559,JIWA,2013
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HINDU,232,JIWA,2013
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUDHA,2607,JIWA,2013
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KONGHUCHU,237,JIWA,2013
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEPERCAYAAN LAIN,55,JIWA,2013
