id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_ayam,tahun,daging_babi,daging_domba,daging_kelinci,daging_sapi,kubis
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,32324,2017,0,826,320,2285082,95689.0
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34275,2017,0,2043,990,3256863,3580.0
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,9829,2017,6,629,0,2214551,0.0
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,151368,2017,314,10056,250,9969490,329.0
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,116049,2017,0,452,80,1156358,265.0
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42207,2017,0,871,180,1509880,13111.0
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,18758,2017,0,3847,40,3973029,0.0
116,32,JAWA BARAT,3205,KABUPATEN GARUT,8276,2017,0,5215,0,2762838,157902.0
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28862,2017,0,326,20,2605766,0.0
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,78737,2017,5,36,128,2100268,0.0
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,13317,2017,0,621,60,3279019,2544.0
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22804,2017,0,1535,0,2197885,3253.0
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1918,2017,0,87,20,600445,0.0
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52468,2017,0,97,0,1679474,34.0
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,67800,2017,0,1395,1948,1234329,497.0
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,53851,2017,0,660,30,1734914,6423.0
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21068,2017,0,625,80,1362069,6821.0
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41799,2017,0,837,130,1985924,1090.0
