id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,daging_ayam,tahun
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,32324,2017
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34275,2017
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,9829,2017
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,151368,2017
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,116049,2017
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42207,2017
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,18758,2017
116,32,JAWA BARAT,3205,KABUPATEN GARUT,8276,2017
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28862,2017
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,78737,2017
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,13317,2017
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22804,2017
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1918,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52468,2017
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,67800,2017
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,53851,2017
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21068,2017
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41799,2017
127,32,JAWA BARAT,3273,KOTA BANDUNG,2882,2017
128,32,JAWA BARAT,3279,KOTA BANJAR,4523,2017
129,32,JAWA BARAT,3275,KOTA BEKASI,3062,2017
130,32,JAWA BARAT,3271,KOTA BOGOR,1380,2017
131,32,JAWA BARAT,3277,KOTA CIMAHI,295,2017
132,32,JAWA BARAT,3274,KOTA CIREBON,670,2017
133,32,JAWA BARAT,3276,KOTA DEPOK,3705,2017
134,32,JAWA BARAT,3272,KOTA SUKABUMI,3237,2017
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8398,2017
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,20141,2018
137,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,14995,2018
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,9878,2018
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,151552,2018
140,32,JAWA BARAT,3207,KABUPATEN CIAMIS,117271,2018
141,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44474,2018
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,19681,2018
143,32,JAWA BARAT,3205,KABUPATEN GARUT,9160,2018
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,35670,2018
145,32,JAWA BARAT,3215,KABUPATEN KARAWANG,57,2018
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,24551,2018
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22810,2018
148,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1771,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,32748,2018
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,42733,2018
151,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,54928,2018
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12195,2018
153,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,38260,2018
154,32,JAWA BARAT,3273,KOTA BANDUNG,193,2018
155,32,JAWA BARAT,3279,KOTA BANJAR,2323,2018
156,32,JAWA BARAT,3275,KOTA BEKASI,1819,2018
157,32,JAWA BARAT,3271,KOTA BOGOR,1395,2018
158,32,JAWA BARAT,3277,KOTA CIMAHI,43,2018
159,32,JAWA BARAT,3274,KOTA CIREBON,110,2018
160,32,JAWA BARAT,3276,KOTA DEPOK,3776,2018
161,32,JAWA BARAT,3272,KOTA SUKABUMI,2057,2018
162,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3498,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,177272,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,59065,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,47679,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,36616,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,9383,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,38655,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,120630,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25168,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,21412,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23369,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20114,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,47898,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,57722,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56832,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,94251,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,8804,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15357,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2015,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,1423,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,4305,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,167,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,5457,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,3081,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,3786,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,304,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8787,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,4833,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,170479,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,46698,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55239,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,38397,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,31142,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,40305,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,23537,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,26297,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,24903,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23838,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20683,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,36687,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,58905,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,66991,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71539,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,8763,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15287,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2381,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,1422,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,3828,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,1180,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,0,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,2604,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,3607,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,303,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3705,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,5010,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,138629,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,32866,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41482,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,27258,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,1791,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30760,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,107888,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22548,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,19709,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18655,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11948,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,31824,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,45374,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52599,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71936,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,6722,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11640,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1983,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,1071,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,13775,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,856,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,5,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,1998,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,2447,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,226,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6673,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,3493,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,179364,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,44121,2022
